starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 17:24:47 2020	1603952687	24	315	338	315
Thu Oct 29 17:24:57 2020	1603952697	26	313	338	313
Thu Oct 29 17:25:03 2020	1603952703	24	314	339	314
Thu Oct 29 17:25:32 2020	1603952732	24	315	339	315
Thu Oct 29 17:25:25 2020	1603952725	24	314	339	314
Thu Oct 29 17:24:54 2020	1603952694	28	311	339	310
Thu Oct 29 17:24:51 2020	1603952691	21	317	339	317
Thu Oct 29 17:24:38 2020	1603952678	24	315	339	315
Thu Oct 29 17:26:07 2020	1603952767	22	317	339	317
Thu Oct 29 17:24:39 2020	1603952679	27	312	339	312
Thu Oct 29 17:26:02 2020	1603952762	25	314	339	314
Thu Oct 29 17:24:42 2020	1603952682	24	315	339	315
Thu Oct 29 17:25:53 2020	1603952753	22	317	339	316
Thu Oct 29 17:25:20 2020	1603952720	26	314	339	314
Thu Oct 29 17:24:51 2020	1603952691	27	312	339	312
Thu Oct 29 17:25:58 2020	1603952758	27	312	339	312
Thu Oct 29 17:26:08 2020	1603952768	22	318	339	317
Thu Oct 29 17:25:56 2020	1603952756	27	312	339	312
Thu Oct 29 17:25:23 2020	1603952723	23	316	339	316
Thu Oct 29 17:24:55 2020	1603952695	26	313	339	313
Thu Oct 29 17:25:09 2020	1603952709	25	314	339	314
Thu Oct 29 17:24:46 2020	1603952686	26	314	339	314
Thu Oct 29 17:25:50 2020	1603952750	21	319	339	318
Thu Oct 29 17:25:08 2020	1603952708	24	316	339	316
Thu Oct 29 17:24:45 2020	1603952685	22	318	339	318
Thu Oct 29 17:25:28 2020	1603952728	28	312	339	312
Thu Oct 29 17:25:13 2020	1603952713	25	314	339	314
Thu Oct 29 17:25:21 2020	1603952721	23	317	339	317
Thu Oct 29 17:25:42 2020	1603952742	22	317	340	317
Thu Oct 29 17:25:57 2020	1603952757	22	317	340	317
Thu Oct 29 17:26:04 2020	1603952764	26	313	340	313
Thu Oct 29 17:25:12 2020	1603952712	26	314	340	314
Thu Oct 29 17:24:42 2020	1603952682	24	315	340	315
Thu Oct 29 17:26:00 2020	1603952760	22	318	340	317
Thu Oct 29 17:25:32 2020	1603952732	25	315	340	315
Thu Oct 29 17:25:25 2020	1603952725	28	311	340	311
Thu Oct 29 17:26:05 2020	1603952765	23	317	340	316
Thu Oct 29 17:26:10 2020	1603952770	22	318	340	318
Thu Oct 29 17:25:25 2020	1603952725	27	313	340	313
Thu Oct 29 17:25:42 2020	1603952742	23	317	340	317
Thu Oct 29 17:24:49 2020	1603952689	21	318	340	318
Thu Oct 29 17:24:45 2020	1603952685	23	317	340	317
Thu Oct 29 17:25:04 2020	1603952704	22	318	340	318
Thu Oct 29 17:24:53 2020	1603952693	26	314	340	313
Thu Oct 29 17:25:13 2020	1603952713	27	313	340	313
Thu Oct 29 17:24:50 2020	1603952690	24	316	341	315
Thu Oct 29 17:26:06 2020	1603952766	20	320	341	320
Thu Oct 29 17:25:48 2020	1603952748	24	317	341	316
Thu Oct 29 17:24:53 2020	1603952693	37	304	341	304
Thu Oct 29 17:25:27 2020	1603952727	22	319	341	319
Thu Oct 29 17:24:43 2020	1603952683	25	316	341	316
Thu Oct 29 17:25:35 2020	1603952735	22	319	341	319
Thu Oct 29 17:25:24 2020	1603952724	20	321	341	321
Thu Oct 29 17:25:10 2020	1603952710	26	315	341	315
Thu Oct 29 17:25:07 2020	1603952707	26	315	341	315
Thu Oct 29 17:24:42 2020	1603952682	21	321	341	321
Thu Oct 29 17:25:55 2020	1603952755	24	317	341	317
Thu Oct 29 17:25:24 2020	1603952724	21	320	341	320
Thu Oct 29 17:25:12 2020	1603952712	23	318	341	318
Thu Oct 29 17:25:10 2020	1603952710	25	316	341	316
Thu Oct 29 17:25:34 2020	1603952734	26	315	342	315
Thu Oct 29 17:25:42 2020	1603952742	22	319	342	319
Thu Oct 29 17:25:08 2020	1603952708	22	320	342	320
Thu Oct 29 17:24:44 2020	1603952684	24	318	342	318
Thu Oct 29 17:25:05 2020	1603952705	23	319	342	319
Thu Oct 29 17:25:34 2020	1603952734	21	321	342	321
Thu Oct 29 17:25:28 2020	1603952728	40	302	342	302
Thu Oct 29 17:25:47 2020	1603952747	24	318	342	317
Thu Oct 29 17:25:04 2020	1603952704	27	315	342	315
Thu Oct 29 17:24:51 2020	1603952691	24	318	342	318
Thu Oct 29 17:24:49 2020	1603952689	26	316	342	316
Thu Oct 29 17:25:55 2020	1603952755	26	316	342	316
Thu Oct 29 17:25:26 2020	1603952726	25	317	342	317
Thu Oct 29 17:25:39 2020	1603952739	25	317	342	317
Thu Oct 29 17:25:28 2020	1603952728	24	318	342	318
Thu Oct 29 17:26:00 2020	1603952760	26	317	342	317
Thu Oct 29 17:25:28 2020	1603952728	24	318	342	318
Thu Oct 29 17:24:46 2020	1603952686	28	315	342	315
Thu Oct 29 17:25:06 2020	1603952706	27	315	342	315
Thu Oct 29 17:25:38 2020	1603952738	24	318	343	318
Thu Oct 29 17:24:54 2020	1603952694	24	318	343	318
Thu Oct 29 17:24:36 2020	1603952676	27	315	343	315
Thu Oct 29 17:25:29 2020	1603952729	24	319	343	319
Thu Oct 29 17:25:36 2020	1603952736	41	302	343	302
Thu Oct 29 17:25:30 2020	1603952730	20	323	343	323
Thu Oct 29 17:25:41 2020	1603952741	24	319	343	319
Thu Oct 29 17:25:48 2020	1603952748	27	316	343	316
Thu Oct 29 17:25:25 2020	1603952725	21	322	343	322
Thu Oct 29 17:26:09 2020	1603952769	21	322	343	322
Thu Oct 29 17:25:11 2020	1603952711	23	320	343	320
Thu Oct 29 17:24:44 2020	1603952684	22	321	343	321
Thu Oct 29 17:24:45 2020	1603952685	23	320	343	320
Thu Oct 29 17:26:04 2020	1603952764	21	322	343	322
Thu Oct 29 17:25:33 2020	1603952733	24	319	343	319
Thu Oct 29 17:26:06 2020	1603952766	24	319	343	319
Thu Oct 29 17:25:30 2020	1603952730	25	319	343	318
Thu Oct 29 17:25:16 2020	1603952716	26	317	343	317
Thu Oct 29 17:24:41 2020	1603952681	24	319	343	319
Thu Oct 29 17:24:47 2020	1603952687	25	319	344	318
Thu Oct 29 17:24:52 2020	1603952692	27	317	344	317
Thu Oct 29 17:26:00 2020	1603952760	21	322	344	322
Thu Oct 29 17:25:47 2020	1603952747	27	317	344	317
Thu Oct 29 17:24:46 2020	1603952686	25	319	344	319
Thu Oct 29 17:25:00 2020	1603952700	26	318	344	318
Thu Oct 29 17:25:07 2020	1603952707	22	321	344	321
Thu Oct 29 17:25:22 2020	1603952722	24	320	344	320
Thu Oct 29 17:25:08 2020	1603952708	26	318	344	318
Thu Oct 29 17:24:50 2020	1603952690	26	319	344	318
Thu Oct 29 17:26:06 2020	1603952766	24	320	344	320
Thu Oct 29 17:25:12 2020	1603952712	22	322	345	322
Thu Oct 29 17:25:31 2020	1603952731	20	325	345	325
Thu Oct 29 17:25:24 2020	1603952724	21	324	345	324
Thu Oct 29 17:26:07 2020	1603952767	24	320	345	320
Thu Oct 29 17:26:08 2020	1603952768	25	320	345	320
Thu Oct 29 17:25:44 2020	1603952744	21	324	345	324
Thu Oct 29 17:24:53 2020	1603952693	26	319	345	318
Thu Oct 29 17:25:03 2020	1603952703	26	319	345	319
Thu Oct 29 17:25:54 2020	1603952754	40	305	345	305
Thu Oct 29 17:25:47 2020	1603952747	27	318	345	318
Thu Oct 29 17:24:39 2020	1603952679	23	322	345	322
Thu Oct 29 17:24:38 2020	1603952678	31	314	345	314
Thu Oct 29 17:25:23 2020	1603952723	39	306	345	306
Thu Oct 29 17:25:11 2020	1603952711	22	324	345	324
Thu Oct 29 17:25:26 2020	1603952726	24	322	345	321
Thu Oct 29 17:25:43 2020	1603952743	26	319	345	319
Thu Oct 29 17:24:37 2020	1603952677	22	323	345	323
Thu Oct 29 17:26:06 2020	1603952766	22	323	345	323
Thu Oct 29 17:24:37 2020	1603952677	24	321	346	321
Thu Oct 29 17:25:33 2020	1603952733	33	312	346	312
Thu Oct 29 17:25:16 2020	1603952716	33	313	346	312
Thu Oct 29 17:25:59 2020	1603952759	41	305	346	305
Thu Oct 29 17:25:44 2020	1603952744	22	324	346	323
Thu Oct 29 17:25:03 2020	1603952703	22	324	346	324
Thu Oct 29 17:24:42 2020	1603952682	23	324	346	323
Thu Oct 29 17:24:37 2020	1603952677	23	323	346	323
Thu Oct 29 17:25:38 2020	1603952738	38	308	346	308
Thu Oct 29 17:24:41 2020	1603952681	25	321	346	321
Thu Oct 29 17:24:49 2020	1603952689	25	321	346	321
Thu Oct 29 17:25:42 2020	1603952742	24	322	346	322
Thu Oct 29 17:24:40 2020	1603952680	25	322	346	322
Thu Oct 29 17:25:39 2020	1603952739	23	323	346	323
Thu Oct 29 17:25:07 2020	1603952707	26	321	347	321
Thu Oct 29 17:24:34 2020	1603952674	24	322	347	322
Thu Oct 29 17:24:42 2020	1603952682	26	321	347	321
Thu Oct 29 17:25:01 2020	1603952701	22	324	347	324
Thu Oct 29 17:26:04 2020	1603952764	26	321	347	321
Thu Oct 29 17:25:20 2020	1603952720	33	314	347	313
Thu Oct 29 17:24:49 2020	1603952689	27	320	347	320
Thu Oct 29 17:25:42 2020	1603952742	25	322	347	322
Thu Oct 29 17:24:36 2020	1603952676	22	325	347	325
Thu Oct 29 17:24:47 2020	1603952687	25	322	347	321
Thu Oct 29 17:25:43 2020	1603952743	25	322	347	322
Thu Oct 29 17:25:11 2020	1603952711	26	321	347	321
Thu Oct 29 17:24:34 2020	1603952674	20	327	347	327
Thu Oct 29 17:25:23 2020	1603952723	39	308	347	308
Thu Oct 29 17:24:42 2020	1603952682	28	319	347	319
Thu Oct 29 17:25:09 2020	1603952709	25	322	347	322
Thu Oct 29 17:25:56 2020	1603952756	20	328	348	327
Thu Oct 29 17:24:46 2020	1603952686	26	322	348	322
Thu Oct 29 17:25:39 2020	1603952739	35	312	348	312
Thu Oct 29 17:25:38 2020	1603952738	37	311	348	311
Thu Oct 29 17:24:38 2020	1603952678	24	324	348	324
Thu Oct 29 17:26:04 2020	1603952764	23	325	348	325
Thu Oct 29 17:25:06 2020	1603952706	21	327	348	327
Thu Oct 29 17:25:40 2020	1603952740	23	325	348	325
Thu Oct 29 17:25:46 2020	1603952746	22	326	348	326
Thu Oct 29 17:24:48 2020	1603952688	26	322	348	322
