starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 29 13:43:12 2020	1603939392	26	319	345	319
Thu Oct 29 13:42:47 2020	1603939367	22	323	345	323
Thu Oct 29 13:42:30 2020	1603939350	23	323	346	323
Thu Oct 29 13:42:59 2020	1603939379	21	324	346	324
Thu Oct 29 13:42:09 2020	1603939329	22	323	346	323
Thu Oct 29 13:42:40 2020	1603939360	22	324	346	324
Thu Oct 29 13:42:17 2020	1603939337	20	325	346	325
Thu Oct 29 13:42:07 2020	1603939327	21	325	346	325
Thu Oct 29 13:43:05 2020	1603939385	33	313	346	312
Thu Oct 29 13:42:45 2020	1603939365	21	324	346	324
Thu Oct 29 13:43:08 2020	1603939388	38	308	346	308
Thu Oct 29 13:43:01 2020	1603939381	20	326	346	325
Thu Oct 29 13:42:35 2020	1603939355	21	325	346	325
Thu Oct 29 13:42:00 2020	1603939320	24	322	346	322
Thu Oct 29 13:42:29 2020	1603939349	25	321	346	321
Thu Oct 29 13:42:26 2020	1603939346	20	326	346	326
Thu Oct 29 13:42:34 2020	1603939354	22	324	346	324
Thu Oct 29 13:43:11 2020	1603939391	27	319	346	319
Thu Oct 29 13:43:17 2020	1603939397	26	320	346	320
Thu Oct 29 13:42:41 2020	1603939361	23	323	346	323
Thu Oct 29 13:43:10 2020	1603939390	32	315	346	315
Thu Oct 29 13:42:18 2020	1603939338	27	319	346	319
Thu Oct 29 13:42:05 2020	1603939325	26	320	346	320
Thu Oct 29 13:43:16 2020	1603939396	23	323	346	323
Thu Oct 29 13:41:59 2020	1603939319	21	325	346	325
Thu Oct 29 13:42:43 2020	1603939363	24	322	346	322
Thu Oct 29 13:42:26 2020	1603939346	24	322	347	322
Thu Oct 29 13:43:12 2020	1603939392	21	326	347	326
Thu Oct 29 13:42:22 2020	1603939342	24	323	347	323
Thu Oct 29 13:42:21 2020	1603939341	22	325	347	325
Thu Oct 29 13:42:40 2020	1603939360	22	325	347	325
Thu Oct 29 13:42:43 2020	1603939363	23	324	347	324
Thu Oct 29 13:41:59 2020	1603939319	22	325	347	325
Thu Oct 29 13:42:11 2020	1603939331	22	325	347	325
Thu Oct 29 13:42:58 2020	1603939378	20	326	347	326
Thu Oct 29 13:42:25 2020	1603939345	20	327	347	327
Thu Oct 29 13:41:57 2020	1603939317	22	325	347	325
Thu Oct 29 13:43:10 2020	1603939390	31	316	347	316
Thu Oct 29 13:42:30 2020	1603939350	22	325	347	325
Thu Oct 29 13:42:34 2020	1603939354	21	326	347	326
Thu Oct 29 13:42:38 2020	1603939358	24	323	347	323
Thu Oct 29 13:42:19 2020	1603939339	23	324	347	324
Thu Oct 29 13:42:00 2020	1603939320	22	325	347	325
Thu Oct 29 13:42:35 2020	1603939355	22	325	347	325
Thu Oct 29 13:42:00 2020	1603939320	25	322	347	322
